KRM,49;
YHX,24;
DLW,29;
GYA,25;
VQN,85;
EUB,19;
BEN,39;
SYJ,36;
DMU,5;
USG,24;
MVO,50;
SCO,26;
AYL,29;
UWJ,7;
IZX,81;
KTT,37;
IRG,12;
KIN,22;
NTD,30;
ERJ,27;
XWL,39;
TKT,79;
TUV,21;
QNU,26;
SXO,22;
JPW,76;
MTE,62;
FIJ,13;
OXE,74;
GTZ,39;
DSS,23;
VPO,13;
UDV,59;
AJJ,38;
KFL,18;
BDB,33;
OTQ,24;
TYR,51;
XVD,9;
MKO,14;
GML,6;
URG,26;
VIG,30;
DAC,707;
GQV,25;
LYS,17;
YLU,33;
OES,9;
XYU,10;
BSY,39;
FSX,67;
ZWO,16;
CSL,35;
NBR,23;
OXY,33;
SXT,25;
TOW,27;
EHD,62;
GHX,27;
YBE,77;
JRJ,29;
ZMQ,19;
DYZ,61;
AEN,9;
SHC,368;
XKE,3;
KCA,30;
ZWQ,53;
CSB,6;
SUZ,11;
QTG,23;
NEA,40;
GZB,14;
CLU,14;
KIM,5;
ITJ,52;
RVR,15;
RXD,7;
YNJ,16;
IQU,10;
AMJ,67;
RWK,9;
KET,4;
KIP,16;
UQL,32;
RLO,22;
OUB,22;
XWP,157;
BVX,40;
GPH,82;
DHS,43;
UKU,85;
QBD,40;
HPO,20;
JSU,16;
NTQ,5;
MGL,16;
RSW,39;
GHV,48;
MQK,35;
ONN,17;
RFY,242;
KSU,9;
TFB,30;
DLM,67;
GSJ,49;
IWP,17;
SCV,21;
OEZ,28;
WJE,9;
JWD,22;
MWE,16;
XFG,49;
YRN,25;
XMB,158;
WZW,50;
FMM,5;
LKE,11;
WXN,7;
ATA,42;
ODX,23;
JXW,34;
OSG,19;
VRI,6;
IKK,11;
HKY,20;
APP,12;
YZZ,21;
OKE,14;
PZP,38;
MYX,55;
YQK,88;
GYB,43;
SKH,32;
GZR,60;
SIC,33;
FDV,31;
PCQ,53;
FPS,108;
XGD,25;
NYX,8;
VPC,22;
GQX,34;
DEV,28;
HIX,50;
QWQ,4;
TIU,25;
HOS,67;
GWO,30;
GFV,12;
ZVI,21;
OIC,15;
NWT,20;
GHT,39;
TEB,11;
SSD,3;
JMN,23;
UQU,80;
TUK,5;
HHB,18;
TPJ,19;
BAW,34;
XDC,8;
VFC,14;
WTP,45;
OJC,3;
LXR,14;
DTI,8;
PAM,46;
NCU,17;
OJA,37;
MDQ,22;
SDU,12;
PZC,36;
SLL,21;
DCW,23;
XPM,8;
RQQ,88;
IHG,11;
XMG,13;
BPX,75;
TYI,14;
PXA,4;
ENV,20;
OEG,31;
ZNW,12;
ZQL,130;
UXG,6;
ZQO,19;
UAU,9;
FMU,20;
HPY,24;
ZGS,13;
USL,17;
GSB,43;
HYQ,20;
AXH,79;
VWC,12;
EQG,19;
XQA,24;
QLX,51;
HQV,21;
TWB,47;
ZET,95;
EGJ,24;
PSU,14;
DUG,51;
LKW,57;
ZJI,23;
YCQ,8;
EVS,29;
UOM,15;
NBM,17;
YBP,20;
FEV,16;
LAX,54;
GCU,21;
QVQ,36;
GVE,11;
MEJ,26;
SEV,27;
WBS,130;
RVL,21;
SWF,72;
OQU,44;
WIT,5;
LPR,10;
XEB,21;
JMQ,14;
MEW,49;
ALU,18;
ZLL,17;
TBG,10;
TKE,8;
RBZ,102;
ZUH,20;
QMS,10;
GKB,35;
UKL,53;
SLT,31;
FXN,13;
XEQ,7;
QEA,36;
YEX,78;
SBW,22;
MPK,50;
WTQ,20;
ZTB,51;
JGW,62;
AEA,6;
LVA,20;
SRL,13;
PEL,59;
TLU,33;
SQE,65;
QLU,7;
JXM,368;
QLG,57;
SBM,36;
FOD,37;
HKA,18;
ITR,48;
UPC,73;
FET,12;
DAH,20;
JIO,57;
LCE,13;
KKQ,5;
XLX,24;
PID,26;
XHD,15;
LFJ,31;
IVO,26;
KWV,13;
UXR,14;
SKW,17;
VPB,30;
OIA,20;
IUQ,224;
VXP,20;
RFJ,50;
GYN,27;
MAT,142;
DHA,292;
CCD,75;
WOM,13;
BOQ,37;
AGY,55;
GGZ,67;
VAI,16;
SKU,281;
OTK,103;
NHR,10;
SYR,27;
VXB,85;
ZDT,5;
BLN,279;
BJZ,48;
IJO,10;
ACR,88;
TPO,86;
YHP,67;
DNA,14;
EYC,15;
FLY,9;
TNQ,51;
DHW,21;
HER,21;
QPS,72;
RRS,18;
AWM,22;
NUI,5;
GOG,23;
ICM,32;
GWY,11;
VDL,19;
XIC,14;
WEH,21;
BBW,32;
FSD,52;
SVK,17;
FRF,35;
RUW,4;
UYP,14;
WHR,88;
QVJ,18;
OHX,11;
RRB,23;
VTJ,36;
IMK,26;
ANK,10;
RAI,27;
OJW,12;
XAZ,108;
IMG,14;
YZG,29;
HFV,24;
RRM,30;
VAQ,24;
SQK,94;
SPH,28;
IAV,52;
QZU,28;
XCP,12;
UFF,12;
RJE,4;
EUG,88;
QAN,29;
XWA,26;
IND,56;
HWI,14;
LWK,2;
OZG,12;
FEF,21;
FKK,6;
RQC,15;
XNA,17;
BIA,37;
WVW,19;
PKY,16;
RYL,57;
MVI,22;
FFO,20;
MUP,40;
XED,14;
VCF,42;
MWB,34;
LXU,13;
VNN,30;
YRU,18;
NFF,60;
OOE,51;
QTB,55;
AMF,30;
ZOZ,32;
OGS,101;
PDX,30;
SNF,8;
RKL,42;
WZN,15;
EQS,78;
WIG,16;
JJG,247;
ELH,146;
ASK,24;
COV,16;
ODM,15;
HBX,23;
DAF,35;
SJW,54;
WUT,7;
VEQ,15;
MIW,26;
IDZ,23;
QXG,5;
PFP,16;
OCH,25;
PGQ,28;
IRF,14;
CKR,19;
JVM,28;
FJP,24;
WHF,24;
BMN,66;
FWL,46;
BAS,31;
ZQP,67;
IBP,85;
INQ,120;
ZWG,5;
OOT,22;
RTC,25;
PTL,21;
NJN,8;
AJE,44;
XHT,17;
TVJ,39;
BTI,12;
BAV,87;
HHR,14;
HFN,13;
BHX,30;
UXJ,13;
BMS,20;
GOI,16;
FWZ,81;
VYF,31;
VZU,16;
NJW,7;
QDJ,20;
EJQ,14;
NIF,57;
ZXQ,3;
YTA,107;
QGZ,58;
OME,17;
ZAS,24;
WTV,51;
KEN,20;
VHQ,9;
EFQ,33;
JXC,41;
CJO,147;
YFS,7;
JKU,19;
LHG,56;
DCQ,33;
DLU,28;
MJJ,22;
PIV,46;
KST,22;
OFZ,18;
YDF,50;
ADR,12;
BPK,18;
EIZ,17;
TVS,24;
MMQ,20;
KLY,53;
ABC,36;
RLA,12;
HIP,15;
DLR,39;
GKD,6;
YWB,26;
FOA,16;
BBN,23;
SZB,24;
PYA,40;
URV,26;
BXV,17;
FRN,48;
VDW,33;
KOP,23;
PAF,68;
IVJ,32;
QRK,8;
YDH,43;
OQD,32;
UUJ,12;
XCE,183;
KRL,25;
YOG,12;
ZWW,16;
XZA,13;
CYZ,72;
FZJ,32;
CZP,86;
FGX,29;
ZXY,11;
HUQ,141;
FHM,13;
MBH,7;
ZJF,23;
OIX,54;
LSA,14;
FND,83;
NKL,15;
YRW,15;
UIP,2;
EPX,71;
YNC,5;
MEE,19;
MEO,9;
MQL,21;
LUN,18;
TYC,28;
BJT,12;
FNY,14;
OQB,30;
GCO,8;
ZLY,33;
LQB,16;
ZRT,28;
OKL,17;
PWE,9;
LCA,13;
VES,10;
UOA,21;
ISB,41;
VRN,34;
JUV,84;
EXM,119;
OEU,14;
JLY,8;
RXS,22;
VPG,100;
GJM,45;
XKX,37;
HQU,33;
CKY,53;
CJB,27;
QQW,19;
WLT,27;
PYF,42;
QPV,42;
UEU,11;
NXO,49;
NYH,6;
EEX,25;
ZOX,25;
CCY,33;
IQK,15;
GVT,14;
JAT,241;
RLW,34;
WHM,41;
CVN,24;
ZTG,25;
QUJ,21;
RYB,206;
QMA,10;
RAG,49;
VFB,41;
KDL,15;
PSP,34;
QYT,58;
SOS,21;
WWM,23;
XQG,15;
VVW,13;
CSC,3;
ZAK,15;
FHA,22;
RYK,33;
NOL,48;
PJZ,45;
FPX,49;
JUE,18;
YQH,148;
LVN,16;
GCX,38;
HVW,25;
HKN,15;
EQZ,59;
RVM,16;
IEU,187;
ILM,35;
JFC,31;
JPM,42;
RFU,21;
GLS,18;
FPE,34;
KRJ,22;
CMQ,30;
JFK,126;
WMX,19;
MGT,20;
KLS,14;
PNN,48;
BOE,11;
TGJ,53;
GCC,29;
QIV,35;
EAW,7;
ZWF,28;
ALD,15;
XTA,53;
VWI,34;
NKG,19;
HMS,18;
FZZ,37;
NMB,24;
BFO,200;
EOZ,11;
ATV,18;
EAP,14;
SPC,196;
NKS,12;
QBG,26;
KKM,9;
JHR,98;
VCC,27;
BKF,85;
PFW,6;
GAE,9;
BLW,19;
TMR,15;
KDK,8;
XEP,33;
TWR,46;
NDP,8;
MJD,48;
JFL,48;
KWR,19;
ZLT,29;
ZNS,44;
RVK,13;
XUO,20;
KSM,12;
HXU,13;
POD,118;
JRZ,34;
BXW,42;
VEY,4;
STK,12;
XYO,11;
JQJ,29;
LXG,7;
VSY,36;
MCQ,37;
UZT,8;
LLO,26;
SOI,14;
VXH,25;
QUK,21;
WJN,10;
RQZ,27;
IDO,177;
EKD,9;
QLP,22;
OKP,15;
SKN,11;
RWS,9;
LTS,29;
NOM,7;
ROL,60;
XMP,26;
OLN,13;
PIQ,19;
SFJ,16;
FPF,25;
TLY,30;
QUU,175;
NVT,19;
RQF,31;
KQD,21;
AQR,11;
BCB,92;
NRR,117;
BNX,32;
VCT,93;
VWL,15;
BFN,62;
KXX,61;
BHP,30;
XPF,32;
ECS,31;
OZF,18;
EFE,24;
JYI,131;
TAC,33;
EMK,47;
AIA,25;
IPG,29;
AAI,4;
QIF,19;
ZXI,59;
IJJ,5;
XSI,23;
SGC,182;
IFD,11;
WFM,41;
YMU,107;
XHW,6;
JST,67;
OWX,16;
PCA,41;
HUZ,56;
JZB,23;
CCU,29;
GYS,41;
LTW,52;
VUU,29;
OKI,8;
FBK,9;
ELF,20;
CZE,12;
TCF,27;
TOD,213;
MCV,80;
FSI,41;
QFE,15;
CST,25;
LWF,15;
WMK,8;
AWE,29;
JLA,24;
AQK,5;
JRS,19;
KWA,18;
TOS,34;
HMG,8;
PTW,329;
AWV,32;
RFA,39;
NES,23;
NIJ,66;
MYT,37;
FEG,21;
JMA,4;
KQU,6;
XGQ,27;
TOG,25;
IEL,39;
UHX,22;
BYZ,47;
ZDU,6;
ETG,68;
OBO,17;
IDI,8;
LGU,20;
SED,33;
LCQ,14;
JRT,35;
YPH,22;
CHC,18;
BUP,18;
IUE,20;
MBU,22;
SMW,13;
XTN,94;
KJO,14;
PJT,36;
CVO,38;
TFI,23;
JQP,19;
BJS,15;
TNM,33;
EXA,15;
MAK,18;
ZGG,20;
VBB,30;
JJZ,35;
WII,15;
NSO,51;
FAP,29;
KXL,69;
ZIK,7;
BWQ,12;
WXP,27;
TSF,25;
QDY,39;
DTW,25;
TMM,12;
VWG,17;
CBO,21;
VPE,32;
IZI,42;
KBE,12;
XYI,9;
JBA,17;
WAL,28;
QYJ,24;
AEM,7;
XTQ,214;
MFI,57;
ATR,8;
LIX,33;
CEE,51;
QLB,28;
BVB,670;
ORN,56;
ILI,13;
SCK,41;
HWW,66;
KPW,11;
TEY,9;
QED,17;
QUG,44;
AEP,9;
MTR,17;
KSV,15;
LOW,20;
LMG,60;
MDU,10;
SFS,19;
GHQ,17;
YCO,21;
IUL,23;
GKM,23;
WRG,26;
NIO,15;
HCD,28;
MJN,23;
LXL,11;
QPH,37;
DBK,3;
ZCK,26;
WTD,47;
NEJ,43;
VER,58;
FHB,27;
KGW,9;
UBB,33;
XOS,50;
EHZ,35;
FQX,25;
DZN,14;
QVG,35;
KNM,14;
RXF,19;
UIN,18;
WBG,25;
YJR,17;
BZW,43;
IBQ,41;
JVU,12;
FKQ,76;
NVB,9;
ZKW,6;
SSG,180;
TUM,5;
